ledger_id,voucherType_id,InvNo,InvDate,InvAmount,InvBalance,dr_cr,Cleared,IsClosed
1011,2,11,2025-01-01,2000,1000,DR, FALSE,FALSE
1011,2,2,2025-01-01,2000,500,DR,FALSE,FALSE
1011,2,3,2025-01-01,2000,200,DR,FALSE,FALSE
1011,2,4,2025-01-01,2000,300,DR,FALSE,FALSE
1011,2,5,2025-01-01,2000,400,DR,FALSE,FALSE
1011,2,6,2025-01-01,2000,500,DR,FALSE,FALSE
1010,1,1,2025-01-01,5000,600,CR,FALSE,FALSE
1010,1,2,2025-01-01,5000,700,CR,FALSE,FALSE
1010,1,3,2025-01-01,5000,800,CR,FALSE,FALSE
1010,1,4,2025-01-01,5000,900,CR,FALSE,FALSE
1010,1,5,2025-01-01,5000,1200,CR,FALSE,FALSE
1010,1,14,2025-01-01,5000,1900,CR,FALSE,FALSE
1010,1,15,2025-01-01,5000,2200,CR,FALSE,FALSE
